ID,Status of exisiting checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Sex_0,Sex_1,Sex_2,Sex_3,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Target
14,0.0,11.0,2.0,0.0,232.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0
15,0.0,17.0,2.0,4.0,183.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1
16,3.0,17.0,4.0,4.0,464.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,34.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0
17,0.0,21.0,0.0,9.0,852.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0
18,1.0,17.0,2.0,1.0,903.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,25.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1
19,3.0,17.0,2.0,4.0,608.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,12.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0
20,3.0,5.0,4.0,0.0,401.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,29.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0
21,0.0,2.0,2.0,4.0,498.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,25.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0
22,0.0,6.0,4.0,0.0,422.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,29.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0
23,1.0,8.0,4.0,1.0,322.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,25.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
24,3.0,6.0,4.0,3.0,387.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0
25,0.0,2.0,2.0,3.0,222.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
26,3.0,2.0,0.0,4.0,10.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,20.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0
27,2.0,8.0,1.0,4.0,9.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,23.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0
28,1.0,3.0,2.0,4.0,463.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
29,0.0,31.0,3.0,9.0,808.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,44.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1
30,1.0,13.0,2.0,9.0,349.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,17.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0
31,0.0,17.0,2.0,3.0,682.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0
32,1.0,13.0,2.0,0.0,768.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0
33,3.0,8.0,4.0,9.0,178.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,38.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
34,2.0,8.0,2.0,3.0,253.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0
35,1.0,27.0,4.0,4.0,725.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1
36,3.0,29.0,4.0,7.0,776.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,12.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0
37,2.0,13.0,2.0,4.0,391.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1
38,2.0,6.0,2.0,5.0,163.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,18.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
39,1.0,5.0,2.0,4.0,15.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
40,3.0,21.0,2.0,4.0,447.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0
41,1.0,8.0,2.0,4.0,138.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
42,1.0,13.0,3.0,6.0,781.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,25.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0
43,0.0,21.0,4.0,1.0,779.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0
44,0.0,29.0,4.0,1.0,777.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,39.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1
45,3.0,7.0,4.0,0.0,230.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,16.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0
46,3.0,23.0,2.0,4.0,434.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,20.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
47,0.0,2.0,2.0,1.0,213.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0
48,3.0,7.0,4.0,0.0,821.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,20.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0
49,3.0,8.0,2.0,4.0,388.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
50,1.0,17.0,3.0,3.0,447.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
51,1.0,19.0,3.0,1.0,772.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0
52,3.0,8.0,2.0,4.0,177.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
53,3.0,13.0,2.0,1.0,598.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
54,1.0,23.0,3.0,0.0,419.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,38.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1
55,3.0,2.0,1.0,0.0,64.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
56,1.0,8.0,2.0,4.0,797.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,33.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1
57,3.0,23.0,4.0,4.0,876.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0
58,2.0,13.0,2.0,0.0,366.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0
59,0.0,23.0,4.0,3.0,783.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1
60,1.0,5.0,2.0,9.0,229.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0
61,1.0,11.0,4.0,4.0,275.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,31.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0
62,1.0,23.0,0.0,9.0,364.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,42.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1
63,1.0,29.0,0.0,9.0,912.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1
64,3.0,17.0,2.0,4.0,580.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
65,3.0,19.0,2.0,6.0,746.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,29.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0
66,3.0,8.0,2.0,4.0,410.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
67,1.0,8.0,2.0,0.0,107.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
68,3.0,23.0,2.0,7.0,325.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,18.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1
69,3.0,23.0,2.0,4.0,459.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
70,3.0,23.0,2.0,1.0,854.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0
71,3.0,3.0,4.0,4.0,51.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0
72,0.0,4.0,4.0,2.0,140.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,32.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,0
73,1.0,26.0,4.0,9.0,771.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
74,0.0,23.0,2.0,7.0,370.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,21.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1
75,0.0,8.0,4.0,1.0,270.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,47.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0
76,0.0,26.0,2.0,4.0,674.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1
77,1.0,7.0,3.0,4.0,726.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,32.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
78,3.0,30.0,0.0,1.0,875.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0
79,1.0,21.0,2.0,3.0,657.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
80,3.0,17.0,2.0,4.0,769.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1
81,3.0,11.0,2.0,4.0,157.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,28.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0
82,3.0,13.0,2.0,9.0,288.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
83,0.0,17.0,2.0,2.0,315.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,39.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0
84,0.0,6.0,2.0,4.0,438.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,33.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0
85,3.0,8.0,4.0,9.0,235.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,10.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0
86,1.0,13.0,4.0,3.0,190.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0
87,1.0,23.0,2.0,7.0,904.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,28.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1
88,0.0,13.0,2.0,0.0,425.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,11.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0
89,0.0,8.0,0.0,6.0,128.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1
90,3.0,8.0,4.0,4.0,24.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,37.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
91,0.0,8.0,4.0,1.0,233.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,35.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
92,3.0,8.0,4.0,4.0,67.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
93,2.0,17.0,4.0,3.0,636.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0
94,1.0,8.0,2.0,0.0,200.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,35.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
95,1.0,30.0,0.0,9.0,919.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,39.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1
96,3.0,8.0,4.0,7.0,377.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,42.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
97,1.0,13.0,2.0,9.0,494.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,15.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
98,1.0,23.0,4.0,4.0,448.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
99,1.0,14.0,3.0,1.0,816.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,17.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0
100,3.0,17.0,2.0,0.0,250.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
101,1.0,23.0,2.0,4.0,441.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0
102,3.0,2.0,3.0,4.0,92.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
103,1.0,5.0,4.0,3.0,350.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,16.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0
104,3.0,8.0,2.0,1.0,468.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0
105,1.0,17.0,4.0,2.0,898.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,20.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1
106,3.0,13.0,1.0,0.0,796.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,20.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1
107,1.0,8.0,2.0,0.0,775.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,13.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
108,0.0,17.0,2.0,3.0,841.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0
109,1.0,10.0,2.0,9.0,234.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
110,1.0,2.0,3.0,9.0,246.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0
111,2.0,11.0,2.0,7.0,8.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0
112,1.0,13.0,2.0,0.0,784.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
113,3.0,23.0,4.0,0.0,846.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1
114,0.0,8.0,2.0,4.0,307.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
115,3.0,29.0,4.0,4.0,629.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
116,0.0,26.0,2.0,4.0,820.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1
117,0.0,6.0,4.0,3.0,399.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0
118,0.0,22.0,4.0,3.0,698.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1
119,1.0,8.0,4.0,0.0,454.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0
120,0.0,15.0,2.0,4.0,329.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1
121,3.0,17.0,4.0,1.0,663.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,22.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0
122,3.0,8.0,2.0,3.0,317.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
123,2.0,6.0,4.0,0.0,63.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,44.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0
124,1.0,13.0,2.0,3.0,352.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1
125,0.0,8.0,4.0,0.0,396.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0
126,0.0,8.0,2.0,4.0,44.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0
127,1.0,8.0,2.0,6.0,28.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1
128,1.0,8.0,4.0,1.0,335.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,15.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0
129,0.0,8.0,4.0,0.0,616.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1
130,1.0,29.0,2.0,0.0,861.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0
131,0.0,23.0,3.0,7.0,812.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,10.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1
132,3.0,11.0,2.0,3.0,508.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
133,3.0,13.0,2.0,3.0,373.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,28.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0
134,3.0,31.0,2.0,4.0,882.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0
135,3.0,8.0,4.0,4.0,170.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0
136,3.0,19.0,3.0,1.0,863.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0
137,1.0,8.0,2.0,4.0,61.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,47.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1
138,1.0,11.0,4.0,4.0,511.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,16.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0
139,2.0,8.0,2.0,4.0,340.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,25.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0
140,2.0,2.0,2.0,0.0,47.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0
141,1.0,23.0,2.0,4.0,728.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0
